"File","Line","Content","MsgText","IsDebug","PrevCtx","NextCtx"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","27096","MessageBox(cMsg, ""IOB Buy Price"", MB_ICONSTOP);","[Dynamic variable: cMsg]","False","sprintf(cMsg, ""Assined price is %0.4f, you can not place zero price to Buy"", pIOBRuleDetails->objiobstructures.ObjGreekIOBOrderEntry.dPrice);","return false;"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","27118","MessageBox(cMsg, ""IOB Sell Price"", MB_ICONSTOP);","[Dynamic variable: cMsg]","False","sprintf(cMsg, ""Assined price is %0.4f, you can not place high price to LR spread rule"", pIOBRuleDetails->objiobstructures.ObjGreekIOBOrderEntry.dPrice);","if (m_pInMemGATSArbitrage)"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","27135","MessageBox(cMsg, ""IOB Sell Price"", MB_ICONSTOP);","[Dynamic variable: cMsg]","False","sprintf(cMsg, ""Assined price is %0.4f, you can not place low price to Sell"", pIOBRuleDetails->objiobstructures.ObjGreekIOBOrderEntry.dPrice);","if (m_pInMemGATSArbitrage)"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","27147","MessageBox(cMsg, ""IOB Sell Price"", MB_ICONSTOP);","[Dynamic variable: cMsg]","False","sprintf(cMsg, ""Assined price is %0.4f, you can not place zero price to Sell"", pIOBRuleDetails->objiobstructures.ObjGreekIOBOrderEntry.dPrice);","return false;"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","27162","MessageBox(cMsg, ""IOB Buy Price"", MB_ICONSTOP);","[Dynamic variable: cMsg]","False","sprintf(cMsg, ""Soft Limit price is %0.2f, you can not place greater or zero  price to Buy"", pIOBRuleDetails->objiobstructures.ObjGreekIOBOrderEntry.dSoftLimitPrice);","if (m_pInMemGATSArbitrage)"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","27177","MessageBox(cMsg, ""IOB Sell Price"", MB_ICONSTOP);","[Dynamic variable: cMsg]","False","sprintf(cMsg, ""Soft Limit price is %0.2f, you can not place low or zero  price to Sell"", pIOBRuleDetails->objiobstructures.ObjGreekIOBOrderEntry.dSoftLimitPrice);","if (m_pInMemGATSArbitrage)"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","27215","MessageBox(""Rule quantity is greater than allowed IOB rule quantity \nPlease provide proper quantity !"", ""IOB Validation"", MB_OK | MB_ICONINFORMATION);","Rule quantity is greater than allowed IOB rule quantity \nPlease provide proper quantity !","False","{","m_edtTotalQty.SetFocus();"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","27244","MessageBox(""Total Lot is greater than allowed Lot \nPlease provide proper Lot !"", ""IOB Validation"", MB_OK | MB_ICONINFORMATION);","Total Lot is greater than allowed Lot \nPlease provide proper Lot !","False","if (AppGlobal::m_bLotWiseCalculation)","else"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","27246","MessageBox(""Total quantity is greater than allowed quantity \nPlease provide proper quantity !"", ""IOB Validation"", MB_OK | MB_ICONINFORMATION);","Total quantity is greater than allowed quantity \nPlease provide proper quantity !","False","else","m_edtTotalQty.SetFocus();"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","27261","MessageBox(""Total Lot is greater than allowed Lot \nPlease provide proper Lot !"", ""IOB Validation"", MB_OK | MB_ICONINFORMATION);","Total Lot is greater than allowed Lot \nPlease provide proper Lot !","False","if (AppGlobal::m_bLotWiseCalculation)","else"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","27263","MessageBox(""Total quantity is greater than allowed quantity \nPlease provide proper quantity !"", ""IOB Validation"", MB_OK | MB_ICONINFORMATION);","Total quantity is greater than allowed quantity \nPlease provide proper quantity !","False","else","m_edtTotalQty.SetFocus();"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","27287","MessageBox(""Total Lot is greater than allowed Lot \nPlease provide proper Lot !"", ""IOB Validation"", MB_OK | MB_ICONINFORMATION);","Total Lot is greater than allowed Lot \nPlease provide proper Lot !","False","if (AppGlobal::m_bLotWiseCalculation)","else"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","27289","MessageBox(""Total quantity is greater than allowed quantity \nPlease provide proper quantity !"", ""IOB Validation"", MB_OK | MB_ICONINFORMATION);","Total quantity is greater than allowed quantity \nPlease provide proper quantity !","False","else","m_edtTotalQty.SetFocus();"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","27306","MessageBox(""Total Lot is greater than allowed Lot \nPlease provide proper Lot !"", ""IOB Validation"", MB_OK | MB_ICONINFORMATION);","Total Lot is greater than allowed Lot \nPlease provide proper Lot !","False","if (AppGlobal::m_bLotWiseCalculation)","else"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","27308","MessageBox(""Total quantity is greater than allowed quantity \nPlease provide proper quantity !"", ""IOB Validation"", MB_OK | MB_ICONINFORMATION);","Total quantity is greater than allowed quantity \nPlease provide proper quantity !","False","else","m_edtTotalQty.SetFocus();"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","27323","MessageBox(""IOB Hold rule can not be Add"", ""IOB Add"", MB_OK | MB_ICONINFORMATION);","IOB Hold rule can not be Add","False","{","if (m_pInMemGATSArbitrage)"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","27567","MessageBox(cErrorText, ""CGreekExecutionAlgos"");","[Dynamic variable: cErrorText]","True","#ifdef _DEBUG","#endif"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","27837","AfxMessageBox(""Unable To Fill GreekExecution Flex"");","Unable To Fill GreekExecution Flex","False","{","}"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","27934","MessageBox(""Wrong Method value for set last window position"", ""OnInitialUpdate"");","Wrong Method value for set last window position","False","default:","}*/"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","28093","AfxMessageBox(""Exception In CNewGreekExecutionAlgos::OnResponse()"");","Exception In CNewGreekExecutionAlgos::OnResponse()","True","#ifdef _DEBUG","#endif"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","28328","AfxMessageBox(""Exception In CNewGreekExecutionAlgos::OnAdvSpreadKillTab()"");","Exception In CNewGreekExecutionAlgos::OnAdvSpreadKillTab()","True","#ifdef _DEBUG","#endif"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","28374","MessageBox(""Exception in CNewGreekExecutionAlgos::OnBtnShow"", ""Greek Exec Algo"");","Exception in CNewGreekExecutionAlgos::OnBtnShow","True","#ifdef _DEBUG","#endif"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","29795","MessageBox(""Exception in CNewGreekExecutionAlgos::AddAndSave"");","Exception in CNewGreekExecutionAlgos::AddAndSave","True","#ifdef _DEBUG","#endif"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","30213","MessageBox(""This Strategy Type is not allowed for Multi rule, hence request is not processed"", ""Greek Execution-Multiple Add"", MB_OK | MB_ICONINFORMATION);","This Strategy Type is not allowed for Multi rule, hence request is not processed","False","{","return;"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","30219","AfxMessageBox(""You Dont have any feature license for this product"");","You Dont have any feature license for this product","False","{","m_IobRuleNoList.RemoveAll();"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","30232","MessageBox(""Htc parameters are not allowed for multiple iob rule selection"", ""Greek Execution-Multiple Add"", MB_OK | MB_ICONINFORMATION);","Htc parameters are not allowed for multiple iob rule selection","False","{","return;"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","30241","AfxMessageBox(""Invalid Inteval Value!"");","Invalid Inteval Value!","False","{","g_GEAbShowAlertOnSave = false;"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","30254","AfxMessageBox(""Invalid mktPart Value!"");","Invalid mktPart Value!","False","{","g_GEAbShowAlertOnSave = false;"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","30268","MessageBox(""BulkDeal Interval should be less than Original Interval"", ""Greek Execution Algo"", MB_ICONQUESTION | MB_OK | MB_DEFBUTTON1);","BulkDeal Interval should be less than Original Interval","False","{","g_GEAbShowAlertOnSave = false;"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","30281","MessageBox(""Invalid Total quantity percentage.Allowed percentage range 1-100"", ""Greek Execution-Multiple Add"", MB_OK | MB_ICONINFORMATION);","Invalid Total quantity percentage.Allowed percentage range 1-100","False","{","m_edtTotalQty.SetFocus();"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","30366","MessageBox(cMsg, ""Greek Execution-Multiple Add"", MB_OK | MB_ICONINFORMATION);","[Dynamic variable: cMsg]","False","sprintf(cMsg, ""Strategy Type %d not handled hence request is not processed"", m_iStrategyType);","return;"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","30760","MessageBox(""Start time[With Interval] should be less than end time"", ""Greek Execution-Multiple Add"", MB_OK | MB_ICONINFORMATION);","Start time[With Interval] should be less than end time","False","{","return;"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","30766","MessageBox(""End time should be greater than Manager time"", ""Greek Execution-Multiple Add"", MB_OK | MB_ICONINFORMATION);","End time should be greater than Manager time","False","{","return;"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","31046","AfxMessageBox(""MPP% and Market combination not allowed. Only one feature is allowed at a time..!!"");","MPP% and Market combination not allowed. Only one feature is allowed at a time..!!","False","{","g_GEAbShowAlertOnSave = false;"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","31171","AfxMessageBox(""LTP is not available to add rule with MPP, Please Provide Max price"");","LTP is not available to add rule with MPP, Please Provide Max price","False","{","/*g_GEAbShowAlertOnSave = false;"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","31277","MessageBox(""FIX Exec Algo-Multiple Add [New]-Total Qty should be greater than or equal to minimum lot...!"", ""Greek Execution-Multiple Add"", MB_OK | MB_ICONINFORMATION);","FIX Exec Algo-Multiple Add [New]-Total Qty should be greater than or equal to minimum lot...!","False","#endif",""
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","31422","MessageBox(""FIX Exec Algo-Multiple Add[New]-Check Upper And Lower Limit..!"", ""Greek Execution-Multiple Add"", MB_OK|MB_ICONINFORMATION);","FIX Exec Algo-Multiple Add[New]-Check Upper And Lower Limit..!","False","AppGlobal::pWriteInLogFile(""FIXENGINE"", cbuff);","}"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","31435","MessageBox(""FIX Exec Algo-Multiple Add[New]-Lower Limit should be less than Upper limit..!"", ""Greek Execution-Multiple Add"", MB_OK|MB_ICONINFORMATION);","FIX Exec Algo-Multiple Add[New]-Lower Limit should be less than Upper limit..!","False","AppGlobal::pWriteInLogFile(""FIXENGINE"", cbuff);",""
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","31916","AfxMessageBox(""Token is Invalid"");","Token is Invalid","False","{","return;"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","32159","AfxMessageBox(""MPP% and Market combination not allowed. Only one feature is allowed at a time..!!"");","MPP% and Market combination not allowed. Only one feature is allowed at a time..!!","False","{","g_GEAbShowAlertOnSave = false;"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","32235","AfxMessageBox(""Entry LTP is allowed only for IOB rules"");","Entry LTP is allowed only for IOB rules","False","{","g_GEAbShowAlertOnSave = false;"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","32314","AfxMessageBox(""LTP is not available to add rule with MPP, Please Provide Max price"");","LTP is not available to add rule with MPP, Please Provide Max price","False","{","g_GEAbShowAlertOnSave = false;"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","32429","MessageBox(""FIX Exec Algo-Multiple Add [New]-Total Qty should be greater than or equal to minimum lot...!"", ""Greek Execution-Multiple Add"", MB_OK | MB_ICONINFORMATION);","FIX Exec Algo-Multiple Add [New]-Total Qty should be greater than or equal to minimum lot...!","False","#endif",""
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","32580","MessageBox(""FIX Exec Algo-Multiple Add[New]-Check Upper And Lower Limit..!"", ""Greek Execution-Multiple Add"", MB_OK|MB_ICONINFORMATION);","FIX Exec Algo-Multiple Add[New]-Check Upper And Lower Limit..!","False","AppGlobal::pWriteInLogFile(""FIXENGINE"", cbuff);","}"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","32593","MessageBox(""FIX Exec Algo-Multiple Add[New]-Lower Limit should be less than Upper limit..!"", ""Greek Execution-Multiple Add"", MB_OK|MB_ICONINFORMATION);","FIX Exec Algo-Multiple Add[New]-Lower Limit should be less than Upper limit..!","False","AppGlobal::pWriteInLogFile(""FIXENGINE"", cbuff);",""
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","33066","int iResult = AfxMessageBox(cMessbuff, MB_YESNO);","[Dynamic variable: cMessbuff]","False","sprintf(cMessbuff, ""For provided BPS %.2f Spread price is set as 0.\n Do you want to continue?"", atof(cBPSvale));","if (iResult == IDNO)"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","33076","MessageBox(""Rule Can not add For BPS with Adv.Spread  & Incognito startegy."", ""Greek Execution Algo"");","Rule Can not add For BPS with Adv.Spread  & Incognito startegy.","False","{","continue;"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","33964","MessageBox(cBuff, ""Greek Execution-Multiple Add"", MB_OK | MB_ICONINFORMATION);","[Dynamic variable: cBuff]","False","sprintf(cBuff, ""[ %d ] Rules not added"", iRuleCount);","}"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","34009","AfxMessageBox(""Exception in CNewSliceOrder::OnGetMinMaxInfo()"");","Exception in CNewSliceOrder::OnGetMinMaxInfo()","True","#ifdef _DEBUG","#endif"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","34086","MessageBox(""Exception in GetFileTemplateGEA()"", ""CNewGreekExecutionAlgos"");","Exception in GetFileTemplateGEA()","True","#ifdef _DEBUG","#endif"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","34209","MessageBox(""Exception in OnSelchangeTemplateName()"", ""CNewGreekExecutionAlgos"");","Exception in OnSelchangeTemplateName()","True","#ifdef _DEBUG","#endif"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","34381","AfxMessageBox(""Invalid Token"");","Invalid Token","False","{","return false;"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","34390","AfxMessageBox(""Invalid Token"");","Invalid Token","False","{","return false;"
